cliente_id;idade;profissao;estado;renda_mensal;data_cadastro;num_compras;valor_total_gasto;modelo_preferido;satisfacao_cliente;canal_aquisicao
1;28;Outros;SC;7189,61;2024-04-12;1;286,64;Classic;4,0;Indicação
2;24;Publicitário;PB;5434,64;2024-10-03;1;302,02;Classic;4,5;Facebook Ads
3;24;Outros;SP;4919,66;2024-02-20;1;366,04;Slip-on;5,0;Instagram
4;22;Outros;MG;5420,19;2024-12-11;1;337,49;Classic;4,5;Google Ads
5;36;Designer;RS;8263,37;2024-02-23;2;648,99;Runner;5,0;YouTube
6;30;Médico;SP;15490,35;2024-07-08;1;300,58;Runner;4,5;Facebook Ads
7;29;Desenvolvedor;DF;7970,86;2024-11-22;1;302,51;Classic;4,0;Indicação
8;33;Gerente de Projetos;MT;13956,68;2024-01-28;3;974,19;Classic;4,5;Facebook Ads
9;32;Consultor;PE;13790,59;2024-04-10;3;1116,62;Classic;4,5;Google Ads
10;32;Desenvolvedor;RJ;9265,34;2024-12-17;1;308,82;Slip-on;4,5;Facebook Ads
11;32;Designer;SP;7431,45;2024-03-26;3;967,35;Classic;4,5;Google Ads
12;28;Engenheiro;SP;8916,11;2024-08-18;2;626,97;Classic;4,5;Facebook Ads
13;26;Analista de Dados;RJ;10625,44;2024-08-21;1;351,96;Classic;5,0;Facebook Ads
14;40;Outros;SP;9123,03;2024-04-22;1;352,55;Slip-on;4,5;Google Ads
15;27;Consultor;PR;12423,35;2024-08-05;3;936,52;Runner;4,5;Indicação
16;28;Consultor;RS;12803,97;2024-08-27;2;588,09;Runner;5,0;Facebook Ads
17;26;Publicitário;DF;7024,94;2024-07-17;1;334,43;Slip-on;4,0;Facebook Ads
18;25;Médico;PE;13934,56;2024-09-08;1;369,62;Classic;5,0;Outros
19;30;Engenheiro;SP;10263,33;2024-05-26;2;777,33;Runner;5,0;Google Ads
20;26;Engenheiro;RS;7873,0;2024-04-08;3;880,98;Classic;4,5;Outros
21;26;Desenvolvedor;MG;7786,8;2024-05-14;2;620,69;Classic;5,0;Facebook Ads
22;30;Outros;RJ;8646,04;2024-01-27;2;660,48;Classic;4,0;Indicação
23;27;Desenvolvedor;RS;8005,88;2024-08-07;1;328,57;Runner;5,0;Facebook Ads
24;30;UX/UI Designer;AC;7224,93;2024-09-09;1;343,55;Classic;5,0;LinkedIn
25;31;UX/UI Designer;SP;9801,41;2024-12-07;1;290,47;Classic;5,0;Google Ads
26;32;UX/UI Designer;SP;9164,76;2024-11-01;2;726,03;Classic;5,0;Indicação
27;31;Advogado;CE;10290,75;2024-04-01;2;660,91;Classic;4,0;Outros
28;34;Administrador;SP;7284,62;2024-09-27;1;292,73;Runner;4,5;Indicação
29;24;Desenvolvedor;MG;8824,77;2024-11-06;1;319,36;Runner;3,5;Facebook Ads
30;28;Jornalista;SP;4862,31;2024-11-13;1;336,4;Classic;4,0;Facebook Ads
31;29;Publicitário;RS;7369,34;2024-09-28;1;334,78;Runner;3,5;Instagram
32;25;Desenvolvedor;RJ;7190,15;2024-02-16;1;371,53;Classic;4,0;Instagram
33;29;Designer;RJ;7274,56;2024-01-10;3;1027,79;Classic;5,0;Instagram
34;29;Arquiteto;RS;11396,63;2024-09-14;1;362,01;Runner;4,5;Indicação
35;28;UX/UI Designer;RN;8118,19;2024-06-16;2;543,98;Classic;3,5;Google Ads
36;31;Desenvolvedor;SP;12261,05;2024-03-30;1;303,22;Runner;4,5;LinkedIn
37;23;Marketing;TO;7066,83;2024-12-22;1;387,21;Classic;4,5;SEO
38;27;Médico;BA;16130,5;2024-01-13;2;588,14;Classic;4,5;Facebook Ads
39;27;Desenvolvedor;SP;11526,23;2024-03-16;1;379,06;Classic;4,5;Google Ads
40;25;Gerente de Projetos;MG;9063,64;2024-02-22;2;644,73;Classic;4,0;Instagram
41;28;Engenheiro;RJ;8890,11;2024-03-16;2;762,8;Runner;4,5;Google Ads
42;28;Engenheiro;SP;10941,75;2024-12-04;1;384,89;Classic;5,0;Instagram
43;27;Publicitário;RJ;7338,33;2024-06-15;1;333,46;Classic;3,5;Instagram
44;24;Desenvolvedor;SP;9272,37;2024-01-01;2;590,72;Classic;4,0;Instagram
45;28;Advogado;AC;10575,2;2024-10-29;2;719,56;Classic;5,0;Outros
46;29;Consultor;PR;12655,97;2024-02-23;2;656,55;Classic;5,0;YouTube
47;28;Gerente de Projetos;SP;9745,26;2024-03-30;1;286,57;Classic;4,5;Instagram
48;23;Product Manager;RJ;12423,69;2024-08-27;1;385,33;Slip-on;5,0;Indicação
